collection,faithfulness_mean,answer_relevancy_mean,context_precision_mean,context_recall_mean,answer_correctness_mean,1 – noise_sensitivity_mean,average,q1_faithfulness,q2_faithfulness,q3_faithfulness,q4_faithfulness,q5_faithfulness,q6_faithfulness,q7_faithfulness,q8_faithfulness,q9_faithfulness,q10_faithfulness,q11_faithfulness,q12_faithfulness,q13_faithfulness,q14_faithfulness,q15_faithfulness,q16_faithfulness,q17_faithfulness,q18_faithfulness,q19_faithfulness,q20_faithfulness,q21_faithfulness,q22_faithfulness,q23_faithfulness,q24_faithfulness,q25_faithfulness,q26_faithfulness,q27_faithfulness,q28_faithfulness,q29_faithfulness,q30_faithfulness,q31_faithfulness,q32_faithfulness,q33_faithfulness,q34_faithfulness,q35_faithfulness,q36_faithfulness,q37_faithfulness,q38_faithfulness,q39_faithfulness,q40_faithfulness,q41_faithfulness,q42_faithfulness,q43_faithfulness,q44_faithfulness,q45_faithfulness,q46_faithfulness,q47_faithfulness,q48_faithfulness,q49_faithfulness
chunk_size_1000_chunk_overlap_100,0.788635596082405,0.759354347045559,0.513935307285082,0.782608695652174,0.48503986968765,0.669565217391304,0.666523172190696,1,1,0.666666666666667,0.875,1,,0,0,1,1,1,1,1,1,0,0.571428571428571,1,1,,0,0,1,1,1,0,0.8,0,0.5,0.833333333333333,1,1,1,0.875,1,1,1,1,1,1,0.777777777777778,1,1,1,1,1,0.75,0.75,0.666666666666667,1
chunk_size_500_chunk_overlap_300,0.784441137566138,0.792516239352062,0.580958477289089,0.836956521739131,0.493999915844506,0.757142857142857,0.707669191488964,1,1,1,0.857142857142857,0.555555555555556,,0,0,1,1,0.9,1,1,1,0,1,0,1,1,0,1,0.75,1,1,0,1,1,0.5,1,1,1,1,1,1,1,0.857142857142857,0,0.8,1,0.6,1,1,1,1,1,1,0.166666666666667,0.666666666666667,1
chunk_size_1000_chunk_overlap_50,0.757936507936508,0.686146318485333,0.488025398347912,0.739130434782609,0.470100674053191,0.655421450530146,0.632793464022617,,1,0.5,1,1,,0,0,1,1,1,1,1,1,0,1,1,1,,0,0,1,1,0.875,0,0.875,0,0.5,1,1,1,1,0.857142857142857,1,1,1,1,1,1,0.833333333333333,1,1,1,,0,0,0.666666666666667,1,1
chunk_size_2000_chunk_overlap_50,0.753145743145743,0.659794469826173,0.477829093825789,0.834239130434783,0.479208844712188,0.683588263588264,0.647967590922157,,1,1,0.727272727272727,1,,0,0,1,1,1,1,1,1,1,1,,0.875,,0,0,1,1,1,0,1,0,1,0,1,0.875,1,0.714285714285714,1,1,1,1,1,0.8,0.9,1,1,1,1,0,1,0,1,0
chunk_size_1000_chunk_overlap_300,0.751992753623188,0.73294221059146,0.542720063250153,0.802536231884058,0.506924924597214,0.646228031228031,0.663890702529017,1,1,0.5,1,,,0,0,1,1,0.8,1,1,1,0,1,1,1,,0.666666666666667,0,1,1,1,0.5,1,0,0.5,0,1,1,1,0,1,1,1,1,1,0.75,0.875,1,1,1,1,1,0,0,1,1
chunk_size_3000_chunk_overlap_200,0.750672877846791,0.68584681442791,0.57854342452831,0.855978260869565,0.478816954846309,0.643518739714392,0.665562845372213,,1,1,1,1,,0,0,1,1,0.857142857142857,1,1,1,1,1,0,1,,0,0,0.6,1,1,0,1,0,1,0,0.8,0.875,1,0.875,1,1,1,1,1,0.857142857142857,1,1,1,1,1,0,1,0,0.666666666666667,1
chunk_size_500_chunk_overlap_100,0.742162698412698,0.751647280439849,0.55667831945258,0.778985507246377,0.438585491930068,0.725396825396825,0.665576020479733,0.666666666666667,1,0.666666666666667,0.857142857142857,1,,0,0,1,1,1,1,1,1,0,0.8,0,1,1,0.666666666666667,1,1,1,1,0,1,0,0.5,0,1,0.833333333333333,1,1,1,1,1,0,1,1,0.833333333333333,1,1,1,1,0.8,1,0.333333333333333,0.666666666666667,0
chunk_size_2000_chunk_overlap_200,0.739855072463768,0.666771212033607,0.489694022147018,0.877717391304348,0.481392346300923,0.643294853294853,0.649787482924086,0,1,1,1,,,0,0,1,1,0.833333333333333,1,1,1,1,1,0,1,,0,0,0.5,1,1,1,0.6,0,1,0,1,1,1,0.8,1,1,1,1,1,0.8,1,1,1,0.5,1,0,1,0,1,1
chunk_size_1000_chunk_overlap_200,0.735207700101317,0.711844185292747,0.466802528250216,0.802536231884058,0.480014818879666,0.676143029675638,0.64542474901394,1,1,0.4,1,1,,0,0,1,1,0.571428571428571,1,1,1,0,1,1,1,,0.333333333333333,0,1,1,1,1,1,0,0.5,0.333333333333333,1,1,1,0.75,1,1,1,1,1,0.666666666666667,1,1,1,1,0,1,0,0,1,0
chunk_size_3000_chunk_overlap_100,0.732910052910053,0.680336576482432,0.577609036978801,0.805253623188406,0.469337927587673,0.646280591389287,0.651954634756109,,1,1,0.8,1,,0,0,1,1,1,1,1,1,0.75,1,0,1,,0,0,0.8,1,1,0,1,0,1,0,1,0.875,1,0.875,1,1,1,1,1,0.714285714285714,1,1,1,0.5,,0,0,1,0.666666666666667,1
chunk_size_2000_chunk_overlap_100,0.730615942028986,0.653545108051551,0.484857833138261,0.834239130434783,0.469845299088755,0.691398108064775,0.644083570134519,0,1,1,1,1,,0,0,1,1,1,1,1,1,1,1,0,1,,0,0,1,1,1,0,1,0,1,0,0.833333333333333,0.875,1,0,1,1,1,1,1,1,0.9,1,1,1,,1,1,0,1,0
